Operator Clock Number,Heat Number,Sequence Number,LEW Grade Index,USS Grade ,Treatment Start Date,Treatment Start Time,Total Cycle Time,Hot Metal Weight,HM WGT TONS,Hot Metal Start Temp,Hot Metal Silicon,Start Sulfur,Aim Sulfur,Actual Aim Sulfur,Final Sulfur,0,Ordered Mg,Actual Mg,MG Kg/T,$ mag ,Ordered Lime,Actual Lime,lime Kg/T,$ Lime ,TOTAL $,$ / TON,$/T/P,kg/t/p,,Injection Cycle Time,RATIO,Reshot Final Sulfur,Reshot Ordered Mg,Reshot Actual Mg,Reshot Ordered Lime,Reshot Actual Lime,Reshot Cycle Time,"System ""A"" Usage","System ""B"" Usage","Lance ""A"" Used","Lance ""A"" ID","Lance ""A"" Minutes","Lance ""B"" Used","Lance ""B"" ID","Lance ""B"" Minutes",Skim Weight,SKIM %,Ladle (LD) Analysis Sulfur,RHOB (R) Sulfur,LTS (L) Sulfur,Caster Final (F20) Sulfur,,,,,mag price,lime price
0,756307,72,DS0508E,KL22,01/02/2009,00:28:46,00:21:25,201700,202,1360,0.9,0.02,0.004,0.004,0.003,0,94,94,0.466,$468.9002,254,243,1.205,$80.7975,$549.6977,$2.7253,$0.1603,0.0274,,00:04:05,2.59,,,,,,00:00:00,1,1,1,37,07:10:00,1,39,04:37:00,3780,1.87%,0.0051,0.0057,,0.0058,,,,,$4.9883,$0.3325
0,801488,12,DS0001F,AJ04,19/02/2009,01:19:37,00:19:58,246100,246,1266,0.683,0.026,0.006,0.006,0.003,1,106,106,0.4307,$528.7598,286,278,1.13,$92.4350,$621.1948,$2.5242,$0.1097,0.0187,,00:04:34,2.62,,,,,,00:00:00,1,1,1,41,06:28:00,1,36,21:25:00,7180,2.92%,0.0092,0.009,,0.0093,,,,,$4.9883,$0.3325
0,756536,72,DS0001F,AJ04,19/02/2009,04:52:33,00:27:02,221800,222,1275,0.68,0.036,0.006,0.006,0.005,0,117,117,0.5275,$583.6311,316,305,1.375,$101.4125,$685.0436,$3.0886,$0.0996,0.017,,00:04:53,2.61,,,,,,00:00:00,1,1,1,41,06:44:00,1,36,21:43:00,4640,2.09%,0.0075,0.0076,,0.0077,,,,,,
531000000,756526,53,DS0406J,,18/02/2009,04:42:12,00:34:58,226700,227,1278,0.764,0.027,0.002,0.001,0.001,0,230,230,1.0146,$1,147.309,621,601,2.651,$199.8325,$1,347.1415,$5.9424,$0.2286,0.039,,00:09:14,2.61,,,,,,00:00:00,1,1,1,41,04:56:00,1,36,19:53:00,6940,3.06%,0.0037,0.0034,0.003,0.0027,,,,
531000000,756524,51,DS0406J,,17/02/2009,20:55:18,00:37:17,221200,221,1334,0.495,0.058,0.002,0.001,0.002,0,293,292,1.3201,$1,456.5836,791,818,3.698,$271.9850,$1,728.5686,$7.8145,$0.1395,0.0236,,00:11:44,2.8,,,,,,00:00:00,1,1,1,41,04:47:00,1,36,19:20:00,4030,1.82%,0.003,0.0032,0.0031,0.0033,,,,
531000000,756361,19,DS1720F,SD30,08/02/2009,,00:49:33,208600,209,1312,0.879,0.045,0.004,0.002,0.002,0,178,194,0.93,$967.7302,481,531,2.546,$176.5575,$1,144.2877,$5.4856,$0.1276,0.0216,,00:00:00,2.74,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,6110,2.93%,0.0057,,0.0062,0.0066,,,,,
531000000,801352,28,DS1720F,SD30,03/02/2009,13:55:03,00:35:05,205700,206,1331,0.979,0.025,0.004,0.003,0.003,0,127,129,0.6271,$643.4907,343,357,1.736,$118.7025,$762.1932,$3.7054,$0.1684,0.0285,,00:05:24,2.77,,,,,,00:00:00,1,1,1,37,09:36:00,1,39,07:04:00,3920,1.91%,0.0063,0.0073,,0.0078,,,,,,
531000000,756350,8,DS0507M,,07/02/2009,,00:29:43,195300,195,1400,1.092,0.027,0.004,0.003,0.004,0,124,124,0.6349,$618.5492,335,335,1.715,$111.3875,$729.9367,$3.7375,$0.1625,0.0276,,00:00:00,2.7,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,2750,1.41%,0.0062,,0.0071,0.0072,,,,,,
531000000,756352,10,DS0507M,,07/02/2009,,00:26:53,196200,196,1397,1.025,0.028,0.004,0.003,0.004,0,127,127,0.6473,$633.5141,343,343,1.748,$114.0475,$747.5616,$3.8102,$0.1588,0.027,,00:00:00,2.7,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,2740,1.40%,0.0054,,0.0057,0.0054,,,,,,
531000000,801348,24,DS1721C,SK15,03/02/2009,08:09:27,01:06:34,212200,212,1323,1.016,0.024,0.004,0.004,0.002,0,108,108,0.509,$538.7364,292,295,1.39,$98.0875,$636.8239,$3.0011,$0.1364,,,00:04:34,2.73,,,,,,00:00:00,1,1,1,37,09:18:00,1,39,06:45:00,3880,1.83%,0.0071,,0.0082,0.0081,,,,,,
531000000,801350,26,DS1720F,SD30,03/02/2009,11:59:30,00:21:53,213700,214,1325,0.976,0.024,0.004,0.004,0.003,0,109,108,0.5054,$538.7364,294,303,1.418,$100.7475,$639.4839,$2.9924,$0.1425,,,00:04:42,2.81,,,,,,00:00:00,1,1,1,37,09:27:00,1,39,06:54:00,3990,1.87%,0.006,0.0067,,0.0073,,,,,,
531000000,801355,31,DS1720F,SD30,03/02/2009,16:31:55,00:29:40,206700,207,1372,0.927,0.025,0.004,0.004,0.004,0,107,107,0.5177,$533.7481,289,282,1.364,$93.7650,$627.5131,$3.0359,$0.1446,,,00:04:28,2.64,,,,,,00:00:00,1,1,1,37,09:49:00,1,39,07:16:00,2840,1.37%,0.0056,,0.0062,0.0068,,,,,,
531000000,756348,6,DS0507M,,07/02/2009,,00:17:36,211800,212,1297,0.844,0.024,0.004,0.004,0.003,0,107,107,0.5052,$533.7481,292,274,1.294,$91.1050,$624.8531,$2.9502,$0.1405,,,00:00:00,2.56,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,4650,2.20%,0.0056,,0.0061,0.0062,,,,,,
531000000,756354,12,DS1720F,SD30,08/02/2009,,00:28:45,192600,193,1420,0.961,0.048,0.004,0.004,0.004,0,143,143,0.7425,$713.3269,386,369,1.916,$122.6925,$836.0194,$4.3407,$0.0987,,,00:00:00,2.58,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3010,1.56%,0.0071,,0.0074,0.0075,,,,,,
531000000,756356,14,DS1720F,SD30,08/02/2009,,00:35:49,195100,195,1377,1.077,0.033,0.004,0.004,0.005,0,117,117,0.5997,$583.6311,316,305,1.563,$101.4125,$685.0436,$3.5112,$0.1254,,,00:00:00,2.61,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3220,1.65%,0.0065,,0.0068,0.0068,,,,,,
531000000,756358,16,DS1720F,SD30,08/02/2009,,00:48:36,198700,199,1383,0.908,0.045,0.004,0.004,0.011,1,142,142,0.7146,$708.3386,383,371,1.867,$123.3575,$831.6961,$4.1857,$0.1231,,,00:00:00,2.61,0.004,38,37,103,108,00:00:00,0,0,0,,00:00:00,0,,00:00:00,5940,2.99%,0.0071,,0.0074,0.0075,,,,,,
531000000,801408,165,DS0508E,KL22,08/02/2009,,00:40:19,205400,205,1312,1.046,0.037,0.004,0.004,0.005,0,131,131,0.6378,$653.4673,354,348,1.694,$115.7100,$769.1773,$3.7448,$0.1170,,,00:00:00,2.66,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,4660,2.27%,0.0059,,0.0061,0.0064,,,,,,
531000000,756370,167,DS0508E,KL22,09/02/2009,,00:29:51,212400,212,1352,0.818,0.051,0.004,0.004,0.003,0,164,163,0.7674,$813.0929,443,439,2.067,$145.9675,$959.0604,$4.5154,$0.0941,,,00:00:00,2.69,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3240,1.53%,0.0056,,0.006,0.0061,,,,,,
531000000,756373,142,DS0507L,FK46,09/02/2009,,00:24:05,199800,200,1375,0.907,0.045,0.004,0.004,0.004,0,143,143,0.7157,$713.3269,386,394,1.972,$131.0050,$844.3319,$4.2259,$0.1031,,,00:00:00,2.76,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3500,1.75%,0.0052,,0.0058,0.0059,,,,,,
531000000,756375,144,DS0507L,FK46,09/02/2009,,00:26:39,200000,200,1380,0.896,0.035,0.004,0.004,0.005,0,123,123,0.615,$613.5609,332,336,1.68,$111.7200,$725.2809,$3.6264,$0.1209,,,00:00:00,2.73,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,2810,1.41%,0.0054,,0.0063,0.0064,,,,,,
531000000,801410,146,DS0507E,FK56,09/02/2009,,00:34:08,201300,201,1415,0.892,0.05,0.004,0.004,0.005,0,144,173,0.8594,$862.9759,389,452,2.245,$150.2900,$1,13.2659,$5.0336,$0.1119,,,00:00:00,2.61,,,,,,00:00:00,0,0,0,,00:00:00,0,,00:00:00,3710,1.84%,0.0059,,0.0057,0.0062,,,,,
531000000,801432,90,DS0508E,KL22,11/02/2009,07:58:32,00:27:35,209400,209,1374,0.488,0.035,0.004,0.004,0.004,0,129,128,0.6113,$638.5024,348,351,1.676,$116.7075,$755.2099,$3.6065,$0.1163,,,00:05:28,2.74,,,,,,00:00:00,1,1,1,40,10:20:00,1,36,05:52:00,2230,1.06%,0.0065,,0.0076,0.0078,,,,,,
531000000,801434,92,DS0508E,KL22,11/02/2009,09:29:04,00:26:39,203600,204,1383,0.448,0.039,0.004,0.004,0.004,0,133,133,0.6532,$663.4439,359,349,1.714,$116.0425,$779.4864,$3.8285,$0.1094,,,00:05:30,2.62,,,,,,00:00:00,1,1,1,40,10:31:00,1,36,06:02:00,2080,1.02%,0.0075,,0.0085,0.0078,,,,,,
531000000,801436,94,DS0508E,KL22,11/02/2009,11:03:40,00:27:43,206100,206,1376,0.342,0.048,0.004,0.004,0.004,0,153,152,0.7375,$758.2216,413,412,1.999,$136.9900,$895.2116,$4.3436,$0.0987,,,00:06:28,2.71,,,,,,00:00:00,1,1,1,40,10:41:00,1,36,06:13:00,2300,1.12%,0.0072,0.0093,,0.0095,,,,,,
531000000,756420,96,DS0508E,KL22,11/02/2009,12:41:39,00:27:46,214100,214,1311,0.383,0.043,0.004,0.004,0.003,0,149,149,0.6959,$743.2567,402,391,1.826,$130.0075,$873.2642,$4.0788,$0.1020,,,00:06:10,2.62,,,,,,00:00:00,1,1,1,40,10:53:00,1,36,06:25:00,2690,1.26%,0.0063,,0.0065,0.0067,,,,,,
531000000,756422,98,DS0508E,KL22,11/02/2009,14:25:51,00:39:06,208400,208,1351,0.405,0.043,0.004,0.004,0.005,0,144,143,0.6862,$713.3269,389,381,1.828,$126.6825,$840.0094,$4.0308,$0.1061,,,00:05:56,2.66,,,,,,00:00:00,1,1,1,40,11:05:00,1,36,06:37:00,2630,1.26%,0.0059,,0.0063,0.0062,,,,,,
531000000,756449,170,DS0005A,FA84,12/02/2009,14:34:58,00:44:32,225100,225,1287,0.38,0.089,0.014,0.004,0.002,0,259,259,1.1506,$1,291.9697,699,681,3.025,$226.4325,$1,518.4022,$6.7455,$0.0775,,,00:10:28,2.63,,,,,,00:00:00,1,1,1,40,14:11:00,1,36,09:52:00,4800,2.13%,0.0071,,0.0073,0.0079,,,,
